Customer,Name,Customer Short Name
DSZ136,"SOMBOON SOMIC MANUFACTURING CO.,LTD.",SBM
EKE002,KAYABA (MALAYSIA)SDN BHD,KYB Malay
Z0041,บริษัท เสริมมิตร ร่วมทรัพย์ จำกัด,
Z0083,106 ENVIRONMENT COMPANY LIMITED,
Z0105,TOKAI RUBBER COMPOUNDING (THAILAND) LTD.,
Z0138,"RAYONG WOLD  GROUP CO.,LTD",
Z0142,SUMIRIKO FINE ELASTOMER (THAILAND) LTD.,
Z0146,"RUBBER WORLD GREEN CO.,LTD.",
Z0156,SUMIRIKO CHEMICAL AND  PLASTIC PRODUCTS(THAILAND) LTD.,SRK-CP
Z0176,บริษัท ภูมิไท เซอร์วิส จำกัด,
Z0178,SUMITOMO RIKO (ASIA PACIFIC) LTD.,SRK-AP
Z0184,บริษัท ซีคเกอร์ เซอร์วิส อินเตอร์กรุ๊ป จำกัด,
Z0145,บริษัท กรีนเวสท์โกลเวอร์โลท์แมนเนจเม้น จำกัด,
Z0186,น.ส.อุบล แซ่โฟ้ง,
Z0187,"SANYU TECHNICAL INDUSTRIES CO.,LTD.",
Z0188,"Cannan Far East Thailand (Thailand)co.,Ltd..",
Z0185,บริษัท เอสพี แมชชีนนิ่ง แอนด์ เอ็นจิเนียริ่ง จำกัด,
DHS138,"DAIHATSU ASIA TRADING (THAILAND) CO.,LTD.",DATT
Z0189,SUMIRIKO RUBBER COMPOUNDING (THAILAND) LTD.,SRK-RCT
ZST034,"SIAM TOYOTA MANUFACTURING CO.,LTD",STM
DTZ139,"TAKEDA INDUSTRY (THAILAND) CO.,LTD.",TKD
DYZ140,"Y.R.HUMAN MACHINERY CO.,LTD.",Y.R.HMC
Z0130,"INOAC TOKAI (THAILAND) CO.,LTD.",
Z0147,"POLYNET CO.,LTD.",POLYNET
DFA141,FORD SALES & SEVICE(THAILAND)CO.LTD,FST
Z0190,"SUMMIT KEYLEX (THAILAND) CO.,LTD.",
ZTM047,"TOYOTA MOTOR THAILAND CO.,LTD.",TMT
Z0191,นายจอมศักดิ์ มินโด,
Z0154,นาย วิรศักดิ์ เหล็กศรี,
DSZ142,"SURFACE TREATMENT TECHNOLOGY (THAILAND) CO.,LTD.",STT
ZTM046,"TOYOTA MOTOR THAILAND CO.,LTD.",TMT
Z0192,"K MAN FORKLIFT AND SERVICE CO.,LTD.",
DAA143,"AUTOALLIANCE (THAILAND) CO.,LTD.",MAZDA JPN
DAA001,"AUTOALLIANCE (THAILAND) CO.,LTD.",AAT
DAH002,"ASIAN HONDA MOTOR CO.,LTD.",APC
DAS078,"AISIN THAI AUTOMOTIVE CASTING CO.,LTD.",ATAC
DAZ003,"ASNO HORIE (THAILAND) CO.,LTD",AHT
DAZ121,"ASNO HORIE (THAILAND) CO.,LTD.",AHT
DBZ094,"BHKT CO.,LTD.",BHKT
DCZ063,"CALSONIC KANSEI (THAILAND) CO.,LTD.",CKT
DCZ083,CHEVROLET SALES (THAILAND) LIMITED,CHEV SALES
DCZ106,"CH.AUTO PARTS CO.,LTD",CHA
DCZ120,"CH.AUTO INDUSTRY.CO.,LTD",CHA
DDZ096,"DAITO INTERNATIONAL (THAILAND) CO.,LTD.",DAITO
DDZ109,"DENSO (THAILAND)CO.,LTD",DENSO
DDZ135,"DENSO(THAILAND) CO.,LTD.",DENSO
DEZ004,EXEL(THAILAND)LTD.,EXEL
DFA005,"FORD OPERATIONS(THAILAND)CO.,LTD.",FOT
DFZ131,F-TECH MFG. (THAILAND) LTD.,F-TECH
DGZ080,"GENERAL MOTORS (THAILAND) LIMITED,",GMTH
DHA074,"HONDA ACCESS ASIA & OCEANIA CO.,LTD.",HAAO
DHH006,"HONDA AUTOMOBILE(THAILAND)CO.,LTD.",HATC
DHH062,"HONDA R&D ASIA PACIFIC CO.,LTD.",HRAP
DHH067,"HONDA TRADING ASIA CO.,LTD.",HTAS
DHH073,"HONDA R&D SOUTHEAST ASIA CO.,LTD.",HRAP
DHH129,"HONDA AUTOMOBILE (THAILAND) CO.,LTD.",HATC
DHZ007,"HAYAKAWA EASTERN RUBBER CO.,LTD.",HER
DHZ008,HINO MOTORS MANUFACTURING(THAILAND)LTD.,HMMT
DHZ009,HINO MOTORS SALES(THAILAND)LTD.,HMST
DHZ093,HINO MOTORS MANUFACTURING(THAILAND)LTD.,HMMT
DHZ126,"HOPE TECHNOLOGY(THAILAND)CO.,LTD.",HOPE
DII010,ISUZU MOTORS CO.(THAILAND)LTD.,IMCT
DII011,"ISUZU MOTORS CO.,(THAILAND)LTD.",IMCT
DII012,ISUZU MOTORS CO.(THAILAND)LTD.,IMCT
DII013,"ISUZU TECHNICAL CENTER (THAILAND)CO.,LTD",ITCT
DII014,"ISUZU TECHNICAL CENTER OF ASIA CO.,LTD.",ITCA
